Name,Team,Type,National Side,Born,Age,Bowling,Batting Style,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayank,PBKS,Batsman ,India,"February 16, 1991 Bangalore, Karnataka","31 Years, 0 Months, 28 Days",Off break,Right Handed,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Livingstone,PBKS,All-Rounder ,England,"August 4, 1993 Barrow-in-Furness, Cumberland","28 Years, 7 Months, 11 Days",Leg break,Right Handed,IPL,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kagiso Rabada,PBKS,Bowler ,South Africa,"May 25, 1995 Johannesburg","26 Years, 9 Months, 22 Days",Right-arm fast,Left Handed,IPL,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahrukh Khan,PBKS,All-Rounder ,India,"May 27, 1995 Chennai, Tamil Nadu","26 Years, 9 Months, 20 Days",Off break,Right Handed,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikhar Dhawan,PBKS,Batsman ,India,"December 5, 1985 Delhi","36 Years, 3 Months, 10 Days",Off break,Left Handed,IPL,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Bairstow,PBKS,Wicket-Keeper ,England,"September 26, 1989 Bradford, Yorkshire","32 Years, 5 Months, 19 Days",Right-arm medium,Right Handed,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odean Smith,PBKS,All-Rounder ,West Indies,"November 1, 1996 St. Elizabeth, Jamaica","25 Years, 4 Months, 14 Days",Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Chahar,PBKS,Bowler ,India,"August 4, 1999 Bharaatpur, Rajasthan","22 Years, 7 Months, 12 Days",Leg break googly,Right Handed,IPL,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshdeep Singh,PBKS,Bowler ,India,"February 5, 1999 Guna, Madhya Pradesh","23 Years, 1 Months, 8 Days",Left-arm medium fast,Left Handed,IPL,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpreet Brar,PBKS,All-Rounder ,India,"September 16, 1995 Moga, Punjab","26 Years, 6 Months, 0 Days",Slow left-arm orthodox,Left Handed,IPL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaibhav Arora,PBKS,Bowler ,India,"December 14, 1997 Himachal Pradesh","24 Years, 3 Months, 1 Days",Right-arm fast medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raj Bawa,PBKS,All-Rounder ,India,"November 12, 2002 Nahan, Himachal Pradesh","19 Years, 4 Months, 3 Days",Right-arm medium fast,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Ellis,PBKS,Bowler ,Australia,"September 22, 1994 Greenacre, New South Wales","27 Years, 5 Months, 23 Days",Right-arm fast medium,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhsimran Singh,PBKS,Wicket-Keeper ,India,"August 10, 2000","21 Years, 7 Months, 5 Days",,Right Handed,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishi Dhawan,PBKS,All-Rounder ,India,"February 19, 1990 Mandi, Himachal Pradesh","32 Years, 0 Months, 24 Days",Right-arm medium fast,Right Handed,IPL,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhanuka Rajapaksa,PBKS,Batsman ,Sri Lanka,"October 24, 1991","30 Years, 4 Months, 23 Days",,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
