Name,Team,Type,National Side,Bowling,Bowling,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayank,PBKS,Batsman ,India,Off break,Right Handed,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Livingstone,PBKS,All-Rounder ,England,Leg break,Right Handed,IPL,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kagiso Rabada,PBKS,Bowler ,South Africa,Right-arm fast,Left Handed,IPL,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahrukh Khan,PBKS,All-Rounder ,India,Off break,Right Handed,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikhar Dhawan,PBKS,Batsman ,India,Off break,Left Handed,IPL,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Bairstow,PBKS,Wicket-Keeper ,England,Right-arm medium,Right Handed,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odean Smith,PBKS,All-Rounder ,West Indies,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Chahar,PBKS,Bowler ,India,Leg break googly,Right Handed,IPL,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshdeep Singh,PBKS,Bowler ,India,Left-arm medium fast,Left Handed,IPL,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpreet Brar,PBKS,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaibhav Arora,PBKS,Bowler ,India,Right-arm fast medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raj Bawa,PBKS,All-Rounder ,India,Right-arm medium fast,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Ellis,PBKS,Bowler ,Australia,Right-arm fast medium,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhsimran Singh,PBKS,Wicket-Keeper ,India,,Right Handed,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishi Dhawan,PBKS,All-Rounder ,India,Right-arm medium fast,Right Handed,IPL,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhanuka Rajapaksa,PBKS,Batsman ,Sri Lanka,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandeep Sharma,PBKS,Bowler ,India,Right-arm medium,Right Handed,IPL,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny Howell,PBKS,All-Rounder ,England,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishan Porel,PBKS,Bowler ,India,Right-arm medium,Right Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prerak Mankad,PBKS,All-Rounder ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atharva Taide,PBKS,All-Rounder ,India,Slow left-arm orthodox,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansh Patel,PBKS,All-Rounder ,India,Slow left-arm orthodox,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jitesh Sharma,PBKS,Wicket-Keeper ,India,,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writtick Chatterjee,PBKS,All-Rounder ,India,Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltej Singh,PBKS,Bowler ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane Williamson,SRH,Batsman ,New Zealand,Off break,Right Handed,IPL,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Pooran,SRH,Wicket-Keeper ,West Indies,,Left Handed,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Sundar,SRH,All-Rounder ,India,Off break,Left Handed,IPL,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Tripathi,SRH,Batsman ,India,Right-arm medium,Right Handed,IPL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romario Shepherd,SRH,All-Rounder ,West Indies,Right-arm medium fast,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhishek Sharma,SRH,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhuvneshwar Kumar,SRH,Bowler ,India,Right-arm medium,Right Handed,IPL,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Jansen,SRH,All-Rounder ,South Africa,Left-arm fast,Right Handed,IPL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umran Malik,SRH,Bowler ,India,Right-arm medium fast,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Samad,SRH,Batsman ,India,Leg break,Right Handed,IPL,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Natarajan,SRH,Bowler ,India,Left-arm medium,Left Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kartik Tyagi,SRH,Bowler ,India,Right-arm medium fast,Right Handed,IPL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiden Markram,SRH,Batsman ,South Africa,Off break,Right Handed,IPL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Abbott,SRH,Bowler ,Australia,Right-arm fast medium,Right Handed,IPL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Phillips,SRH,Wicket-Keeper ,New Zealand,Off break,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreyas Gopal,SRH,Bowler ,India,Leg break,Right Handed,IPL,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
